iter	MultiClass
0	1.276924586
1	1.18226603
2	1.114082555
3	1.037533823
4	0.9792008006
5	0.9199036011
6	0.8729735225
7	0.8321411419
8	0.787069914
9	0.7536064008
10	0.7174604607
11	0.6892476269
12	0.6583600267
13	0.629247572
14	0.6063283842
15	0.5811529255
16	0.5604235349
17	0.5392444072
18	0.5260748014
19	0.5079243677
20	0.4899148279
21	0.4729326064
22	0.4614834052
23	0.4510414915
24	0.4391908829
25	0.4288597742
26	0.4169362913
27	0.4057178677
28	0.3967459731
29	0.3882711152
30	0.3810175793
31	0.3750953241
32	0.3672489681
33	0.3603184882
34	0.3543445274
35	0.3494882991
36	0.3441073112
37	0.338037332
38	0.3326161972
39	0.3266572671
40	0.3202383978
41	0.3168506501
42	0.3106478257
43	0.3069938604
44	0.3021905786
45	0.2996803751
46	0.2946141553
47	0.2917508853
48	0.2872587952
49	0.2832795902
50	0.2823886398
51	0.278852862
52	0.2766620324
53	0.2745142617
54	0.2720652866
55	0.270487404
56	0.2674451821
57	0.2646522353
58	0.2626852544
59	0.2602867938
60	0.2581438416
61	0.2542583483
62	0.2522699882
63	0.2488600765
64	0.2464319615
65	0.2439230077
66	0.2414879678
67	0.2400004076
68	0.2385415854
69	0.2373950223
70	0.234991213
71	0.2325153823
72	0.2310793919
73	0.2297876877
74	0.227594471
75	0.2248591104
76	0.2225778005
77	0.2209670691
78	0.2199155083
79	0.2189517559
80	0.2173044539
81	0.214672213
82	0.2122637382
83	0.2101422734
84	0.2085459478
85	0.2069181174
86	0.2048006254
87	0.2036408085
88	0.2029664639
89	0.2021536766
90	0.2006724207
91	0.1996201993
92	0.1981987737
93	0.1959524297
94	0.1940256026
95	0.1924668404
96	0.1906664607
97	0.189097279
98	0.187700626
99	0.1863535305
100	0.1848201326
101	0.1836824088
102	0.1824153483
103	0.1802698939
104	0.1793549155
105	0.1781614243
106	0.176238094
107	0.1745591049
108	0.1733322556
109	0.1714531753
110	0.1701806577
111	0.1690420705
112	0.1684923752
113	0.1675990961
114	0.1670181621
115	0.1662827146
116	0.1649964577
117	0.1635462978
118	0.1629013466
119	0.1624451249
120	0.1608770829
121	0.1603087182
122	0.1593869046
123	0.1587329086
124	0.1581252087
125	0.1575100567
126	0.1567705519
127	0.1555029388
128	0.1541484833
129	0.153110225
130	0.1518245911
131	0.1511102129
132	0.15052352
133	0.1494904153
134	0.1480661556
135	0.1473338918
136	0.1463058483
137	0.1454175064
138	0.1443303077
139	0.1434175732
140	0.1422953265
141	0.1419400345
142	0.1413072123
143	0.1409174279
144	0.1404288443
145	0.1396381577
146	0.139308013
147	0.1387364937
148	0.1382230931
149	0.1378191697
150	0.1369622468
151	0.1359233104
152	0.1351916028
153	0.1345841446
154	0.1342620068
155	0.1331450628
156	0.1325275433
157	0.132292251
158	0.1315949719
159	0.1308703975
160	0.1301664839
161	0.1295171727
162	0.129214333
163	0.1284725212
164	0.127920536
165	0.1271886142
166	0.1266543451
167	0.1262663492
168	0.1257320897
169	0.1250470865
170	0.1245722452
171	0.1239427679
172	0.1232804952
173	0.1228273584
174	0.1223167913
175	0.1214639648
176	0.1206326255
177	0.1202231163
178	0.1195729964
179	0.1191840585
180	0.1181852605
181	0.1173752556
182	0.1165143568
183	0.1157098671
184	0.1152659935
185	0.1147836363
186	0.1145590059
187	0.1142397555
188	0.1136498229
189	0.1128392169
190	0.1124113302
191	0.1121886313
192	0.1116832552
193	0.1111069513
194	0.1108321312
195	0.1105355311
196	0.1100709751
197	0.1095712159
198	0.1091848874
199	0.1089555821
200	0.1084066819
201	0.1081395099
202	0.1077982353
203	0.1073651594
204	0.1071156523
205	0.1068051786
206	0.1064130476
207	0.1060730656
208	0.105846318
209	0.1051878344
210	0.1047853483
211	0.104533784
212	0.1041538433
213	0.1035068408
214	0.1033053972
215	0.1029506707
216	0.1025616119
217	0.1022863395
218	0.1018191665
219	0.1012421979
220	0.1010095575
221	0.1008181505
222	0.1004805057
223	0.09972267145
224	0.09950015973
225	0.09896773197
226	0.098710199
227	0.09837962734
228	0.0980059673
229	0.09766715487
230	0.09748966199
231	0.09711572244
232	0.09669204963
233	0.09639475556
234	0.0960469077
235	0.09561722225
236	0.095308856
237	0.09491298676
238	0.09459565907
239	0.09440106256
240	0.09392731977
241	0.09345134829
242	0.09323821002
243	0.09287834787
244	0.09247143452
245	0.09214709199
246	0.09194842392
247	0.09154657695
248	0.09124456339
249	0.09104566413
250	0.09079665404
251	0.09054522398
252	0.09019622246
253	0.08980585622
254	0.08945635102
255	0.08903934139
256	0.08872615785
257	0.08840030115
258	0.08824359156
259	0.08800023219
260	0.08744272907
261	0.08706815475
262	0.08678679438
263	0.08658770887
264	0.08620652417
265	0.08593091006
266	0.08558092775
267	0.08538141617
268	0.08509190589
269	0.08485376487
270	0.08465976728
271	0.08448141809
272	0.08419246364
273	0.0838761196
274	0.08363446498
275	0.08342674809
276	0.08310186155
277	0.08282097417
278	0.08249600035
279	0.08218299324
280	0.08181943183
281	0.08158600481
282	0.08110408941
283	0.08096175543
284	0.08057060291
285	0.08027333577
286	0.08002592197
287	0.07977098755
288	0.07959648356
289	0.07944005138
290	0.07923614984
291	0.07893959948
292	0.07870254108
293	0.0784981627
294	0.07827397671
295	0.07787110124
296	0.07758244643
297	0.07721580142
298	0.07682360618
299	0.07670985153
300	0.07638277375
301	0.07613956698
302	0.07597925703
303	0.07580175208
304	0.07529175571
305	0.07507905667
306	0.07477788106
307	0.07460818999
308	0.07426554271
309	0.07405301029
310	0.07376282578
311	0.07351112327
312	0.07333223847
313	0.07319539286
314	0.07297939902
315	0.07282165266
316	0.07254694857
317	0.07222412591
318	0.07205974387
319	0.07179056671
320	0.07166569922
321	0.07129481381
322	0.07107699544
323	0.07085196936
324	0.07064735919
325	0.07046740244
326	0.07027975276
327	0.07009542218
328	0.06977511464
329	0.06962121017
330	0.06926974182
331	0.06892927548
332	0.06889590435
333	0.06884412747
334	0.06858031669
335	0.06838430569
336	0.06835013581
337	0.0681528645
338	0.06785303673
339	0.06762526536
340	0.06744803607
341	0.0671129665
342	0.06689350513
343	0.06669904443
344	0.06647946224
345	0.06632789176
346	0.06586790459
347	0.06567979609
348	0.0655302714
349	0.06539584927
350	0.06522172843
351	0.06503598077
352	0.06485381813
353	0.06462275095
354	0.06438334382
355	0.06422418505
356	0.06413135437
357	0.06400441667
358	0.0639012627
359	0.06374506144
360	0.06342811717
361	0.06315850684
362	0.06296609096
363	0.06286533193
364	0.06266377556
365	0.06251515704
366	0.06237947691
367	0.06218084472
368	0.06209387852
369	0.06187590211
370	0.06177582332
371	0.06165198567
372	0.06135811951
373	0.06105686867
374	0.06088974468
375	0.06074942429
376	0.06062496388
377	0.06051943779
378	0.06025970506
379	0.06014094354
380	0.06000138773
381	0.05984895504
382	0.05971734504
383	0.05962411197
384	0.05942487882
385	0.0592931989
386	0.05908498339
387	0.05891953771
388	0.0587959281
389	0.05866560071
390	0.05856259397
391	0.05842908193
392	0.05828707461
393	0.05816234969
394	0.05793857142
395	0.05779450678
396	0.05769772008
397	0.05755220878
398	0.05732982952
399	0.05702423977
400	0.05688384075
401	0.05670018394
402	0.05650289536
403	0.05633216981
404	0.0561099535
405	0.05586757446
406	0.0557359205
407	0.05556871133
408	0.05542094759
409	0.05532687831
410	0.0551834284
411	0.05491915075
412	0.05482975407
